70,70,70,71,70
70,70,70,70,70
70,70,70,70,70
70,70,70,70,70
70,70,70,70,70
70,70,70,70,70
70,70,70,70,70
70,70,70,70,70
70,70,70,70,70
70,70,70,70,70
70,70,70,70,70
70,70,70,70,70
70,70,70,70,70
70,70,70,70,70
70,70,70,70,70
1,1,1,1,1
5,5,5,5,5
9,9,9,9,9
12,12,12,12,12
15,15,15,15,15
18,18,18,18,18
20,20,20,20,20
22,22,22,22,22
24,24,24,24,24
26,26,26,26,26
28,28,28,28,28
29,29,29,29,29
31,31,31,31,31
32,32,32,32,32
33,33,33,33,33
35,35,35,35,35
1,1,1,1,1
3,3,3,3,3
5,5,5,5,5
7,7,7,7,7
9,9,9,9,9
10,10,10,10,10
12,12,12,12,12
14,13,14,13,13
